ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849148::Comments,1075849176::Physical Name
1075838981::817,Type,Column,,Type,,,,Type
1075838981::820,Customer Id,Column,A unique number associated with Customer,Customer Id,CUST_number,FK_Customer_PaymentMethod (Customer to PaymentMethod),A unique number associated with Customer,CustNumber
1075838981::834,Payment Method Id,Column,,Payment Method Id,paymentMethodId,R_29 (PaymentMethod to CreditCard),,PaymentMethodId
1075838981::840,Payment Method Id,Column,,Payment Method Id,paymentMethodId,R_30 (PaymentMethod to Check),,PaymentMethodId
1075838981::846,Payment Method Id,Column,,Payment Method Id,paymentMethodId,R_31 (PaymentMethod to Epay),,PaymentMethodId
1075838981::850,Credit Card Number,Column,,Credit Card Number,,,,CreditCardNumber
1075838981::851,Expiration Date,Column,,Expiration Date,,,,ExpirationDate
1075838981::852,Credit Card Type,Column,,Credit Card Type,,,,CreditCardType
1075838981::853,Account Numer,Column,,Account Numer,,,,AccountNumer
1075838981::854,Routing Number,Column,,Routing Number,,,,RoutingNumber
1075838981::855,Vendor Number,Column,,Vendor Number,,,,VendorNumber
1075838981::856,Account Number,Column,,Account Number,,,,AccountNumber
1075838981::875,Payment Method Id,Column,,Payment Method Id,paymentMethodId,R_33 (PaymentMethod to Payment),,PaymentMethodId
1075838981::884,Director Id,Column,,Director Id,,,,DirectorId
1075838981::886,Firstname,Column,,Firstname,,,,FirstName
1075838981::887,Lastname,Column,,Lastname,,,,LastName
1075838981::888,Actor Id,Column,,Actor Id,,,,ActorId
1075838981::890,Firstname,Column,,Firstname,,,,FirstName
1075838981::891,Lastname,Column,,Lastname,,,,LastName
1075838981::897,Movie Id,Column,A unique number that identifies a movie,Movie Id,movie_number,R_35 (Movie to Cast),A unique number that identifies a movie,MovieNumber
1075838981::902,Actor Id,Column,,Actor Id,actorId,R_36 (Actor to Cast),,ActorId
1075838981::920,Director Id,Column,,Director Id,directorId,R_37 (Director to Movie),,DirectorId
1075838981::925,Store Id,Column,A unique identifier of the video store,Store Id,store_number,R_38 (Store to MovieCopy),A unique identifier of the video store,StoreId
1075838981::955,Movie Copy Id,Column,A unique number  identifying the movie copy,Movie Copy Id,movieCopyId,R_41 (MovieCopy to MovieRent),A unique number  identifying the movie copy,MovieCopyId
1075838981::967,Address Id,Column,,Address Id,AddressId,R_43 (Address to Store),,AddressId
1075838981::972,Employee Id,Column,A unique number that identifies the store in which the employee works,Employee Id,EMP_number,R_44 (Employee to Store),A unique number that identifies the store in which the employee works,StoreManager
1075838981::980,Address Id,Column,,Address Id,AddressId,R_45 (Address to Employee),,AddressId
